size                 user_time            nonterminal_nodes    intermediate_nodes   terminal_nodes  packed_nodes    ambiguous_nodes
400                  5311                 80200                79800                400             31920400        158802         
410                  5801                 84255                83845                410             34376860        166872         
410                  5752                 84255                83845                410             34376860        166872         
410                  5719                 84255                83845                410             34376860        166872         
410                  5718                 84255                83845                410             34376860        166872         
410                  5717                 84255                83845                410             34376860        166872         
410                  5725                 84255                83845                410             34376860        166872         
410                  5792                 84255                83845                410             34376860        166872         
410                  5717                 84255                83845                410             34376860        166872         
410                  5805                 84255                83845                410             34376860        166872         
410                  5704                 84255                83845                410             34376860        166872         
420                  6140                 88410                87990                420             36956220        175142         
420                  6286                 88410                87990                420             36956220        175142         
420                  6089                 88410                87990                420             36956220        175142         
420                  6226                 88410                87990                420             36956220        175142         
420                  6169                 88410                87990                420             36956220        175142         
420                  6192                 88410                87990                420             36956220        175142         
420                  6112                 88410                87990                420             36956220        175142         
420                  6251                 88410                87990                420             36956220        175142         
420                  6129                 88410                87990                420             36956220        175142         
420                  6127                 88410                87990                420             36956220        175142         
430                  6630                 92665                92235                430             39661480        183612         
430                  6561                 92665                92235                430             39661480        183612         
430                  6600                 92665                92235                430             39661480        183612         
430                  6472                 92665                92235                430             39661480        183612         
430                  6484                 92665                92235                430             39661480        183612         
430                  6456                 92665                92235                430             39661480        183612         
430                  6499                 92665                92235                430             39661480        183612         
430                  6460                 92665                92235                430             39661480        183612         
430                  6570                 92665                92235                430             39661480        183612         
430                  6531                 92665                92235                430             39661480        183612         
440                  6924                 97020                96580                440             42495640        192282         
440                  6941                 97020                96580                440             42495640        192282         
440                  6997                 97020                96580                440             42495640        192282         
440                  7027                 97020                96580                440             42495640        192282         
440                  6915                 97020                96580                440             42495640        192282         
440                  6922                 97020                96580                440             42495640        192282         
440                  6940                 97020                96580                440             42495640        192282         
440                  6892                 97020                96580                440             42495640        192282         
440                  6994                 97020                96580                440             42495640        192282         
440                  6947                 97020                96580                440             42495640        192282         
450                  7421                 101475               101025               450             45461700        201152         
450                  7564                 101475               101025               450             45461700        201152         
450                  7486                 101475               101025               450             45461700        201152         
450                  7484                 101475               101025               450             45461700        201152         
450                  7496                 101475               101025               450             45461700        201152         
450                  7491                 101475               101025               450             45461700        201152         
450                  7487                 101475               101025               450             45461700        201152         
450                  7516                 101475               101025               450             45461700        201152         
450                  7495                 101475               101025               450             45461700        201152         
450                  7463                 101475               101025               450             45461700        201152         
460                  7966                 106030               105570               460             48562660        210222         
460                  7957                 106030               105570               460             48562660        210222         
460                  7943                 106030               105570               460             48562660        210222         
460                  7981                 106030               105570               460             48562660        210222         
460                  7982                 106030               105570               460             48562660        210222         
460                  8013                 106030               105570               460             48562660        210222         
460                  8026                 106030               105570               460             48562660        210222         
460                  8026                 106030               105570               460             48562660        210222         
460                  7960                 106030               105570               460             48562660        210222         
460                  8041                 106030               105570               460             48562660        210222         
470                  8456                 110685               110215               470             51801520        219492         
470                  8505                 110685               110215               470             51801520        219492         
470                  8546                 110685               110215               470             51801520        219492         
470                  8549                 110685               110215               470             51801520        219492         
470                  8531                 110685               110215               470             51801520        219492         
470                  8537                 110685               110215               470             51801520        219492         
470                  8483                 110685               110215               470             51801520        219492         
470                  8563                 110685               110215               470             51801520        219492         
470                  8560                 110685               110215               470             51801520        219492         
470                  8516                 110685               110215               470             51801520        219492         
480                  9136                 115440               114960               480             55181280        228962         
480                  9045                 115440               114960               480             55181280        228962         
480                  9160                 115440               114960               480             55181280        228962         
480                  9061                 115440               114960               480             55181280        228962         
480                  9067                 115440               114960               480             55181280        228962         
480                  9169                 115440               114960               480             55181280        228962         
480                  9152                 115440               114960               480             55181280        228962         
480                  9054                 115440               114960               480             55181280        228962         
480                  9172                 115440               114960               480             55181280        228962         
480                  9063                 115440               114960               480             55181280        228962         
490                  9713                 120295               119805               490             58704940        238632         
490                  9631                 120295               119805               490             58704940        238632         
490                  9641                 120295               119805               490             58704940        238632         
490                  9720                 120295               119805               490             58704940        238632         
490                  9609                 120295               119805               490             58704940        238632         
490                  9578                 120295               119805               490             58704940        238632         
490                  9610                 120295               119805               490             58704940        238632         
490                  9573                 120295               119805               490             58704940        238632         
490                  9603                 120295               119805               490             58704940        238632         
