size                 user_time            descriptors          nonterminal_nodes    intermediate_nodes     terminal_nodes  packed_nodes    ambiguities
220                  6716                 603378               24310                24090                  220             5300020         47742          
220                  6667                 603378               24310                24090                  220             5300020         47742          
220                  6656                 603378               24310                24090                  220             5300020         47742          
220                  6662                 603378               24310                24090                  220             5300020         47742          
220                  6682                 603378               24310                24090                  220             5300020         47742          
220                  6729                 603378               24310                24090                  220             5300020         47742          
220                  6699                 603378               24310                24090                  220             5300020         47742          
220                  6663                 603378               24310                24090                  220             5300020         47742          
220                  6713                 603378               24310                24090                  220             5300020         47742          
220                  6717                 603378               24310                24090                  220             5300020         47742          
230                  7716                 659553               26565                26335                  230             6057280         52212          
230                  7781                 659553               26565                26335                  230             6057280         52212          
230                  7870                 659553               26565                26335                  230             6057280         52212          
230                  7780                 659553               26565                26335                  230             6057280         52212          
230                  7741                 659553               26565                26335                  230             6057280         52212          
230                  7635                 659553               26565                26335                  230             6057280         52212          
230                  7631                 659553               26565                26335                  230             6057280         52212          
230                  7590                 659553               26565                26335                  230             6057280         52212          
230                  7449                 659553               26565                26335                  230             6057280         52212          
230                  7619                 659553               26565                26335                  230             6057280         52212          
240                  8726                 718228               28920                28680                  240             6883440         56882          
240                  8725                 718228               28920                28680                  240             6883440         56882          
240                  8774                 718228               28920                28680                  240             6883440         56882          
240                  8758                 718228               28920                28680                  240             6883440         56882          
240                  8746                 718228               28920                28680                  240             6883440         56882          
240                  8715                 718228               28920                28680                  240             6883440         56882          
240                  8786                 718228               28920                28680                  240             6883440         56882          
240                  8747                 718228               28920                28680                  240             6883440         56882          
240                  8767                 718228               28920                28680                  240             6883440         56882          
240                  8731                 718228               28920                28680                  240             6883440         56882          
250                  9971                 779403               31375                31125                  250             7781500         61752          
250                  9942                 779403               31375                31125                  250             7781500         61752          
250                  9979                 779403               31375                31125                  250             7781500         61752          
250                  9934                 779403               31375                31125                  250             7781500         61752          
250                  9903                 779403               31375                31125                  250             7781500         61752          
250                  9944                 779403               31375                31125                  250             7781500         61752          
250                  9940                 779403               31375                31125                  250             7781500         61752          
250                  9925                 779403               31375                31125                  250             7781500         61752          
250                  9998                 779403               31375                31125                  250             7781500         61752          
250                  9934                 779403               31375                31125                  250             7781500         61752          
260                  11241                843078               33930                33670                  260             8754460         66822          
260                  11213                843078               33930                33670                  260             8754460         66822          
260                  11241                843078               33930                33670                  260             8754460         66822          
260                  11315                843078               33930                33670                  260             8754460         66822          
260                  11234                843078               33930                33670                  260             8754460         66822          
260                  11260                843078               33930                33670                  260             8754460         66822          
260                  11277                843078               33930                33670                  260             8754460         66822          
260                  11260                843078               33930                33670                  260             8754460         66822          
260                  11324                843078               33930                33670                  260             8754460         66822          
260                  11294                843078               33930                33670                  260             8754460         66822          
270                  12611                909253               36585                36315                  270             9805320         72092          
270                  12625                909253               36585                36315                  270             9805320         72092          
270                  12790                909253               36585                36315                  270             9805320         72092          
270                  12742                909253               36585                36315                  270             9805320         72092          
270                  12724                909253               36585                36315                  270             9805320         72092          
270                  12675                909253               36585                36315                  270             9805320         72092          
270                  12740                909253               36585                36315                  270             9805320         72092          
270                  12710                909253               36585                36315                  270             9805320         72092          
270                  12657                909253               36585                36315                  270             9805320         72092          
270                  12708                909253               36585                36315                  270             9805320         72092          
280                  14214                977928               39340                39060                  280             10937080        77562          
280                  14259                977928               39340                39060                  280             10937080        77562          
280                  14253                977928               39340                39060                  280             10937080        77562          
280                  14217                977928               39340                39060                  280             10937080        77562          
280                  14191                977928               39340                39060                  280             10937080        77562          
280                  14153                977928               39340                39060                  280             10937080        77562          
280                  14228                977928               39340                39060                  280             10937080        77562          
280                  14168                977928               39340                39060                  280             10937080        77562          
280                  14179                977928               39340                39060                  280             10937080        77562          
280                  14239                977928               39340                39060                  280             10937080        77562          
290                  16066                1049103              42195                41905                  290             12152740        83232          
290                  16181                1049103              42195                41905                  290             12152740        83232          
290                  15816                1049103              42195                41905                  290             12152740        83232          
290                  15942                1049103              42195                41905                  290             12152740        83232          
290                  15875                1049103              42195                41905                  290             12152740        83232          
290                  15925                1049103              42195                41905                  290             12152740        83232          
290                  15983                1049103              42195                41905                  290             12152740        83232          
290                  15889                1049103              42195                41905                  290             12152740        83232          
290                  15983                1049103              42195                41905                  290             12152740        83232          
290                  15942                1049103              42195                41905                  290             12152740        83232          
300                  17803                1122778              45150                44850                  300             13455300        89102          
300                  17831                1122778              45150                44850                  300             13455300        89102          
300                  17704                1122778              45150                44850                  300             13455300        89102          
300                  17811                1122778              45150                44850                  300             13455300        89102          
300                  17786                1122778              45150                44850                  300             13455300        89102          
300                  17710                1122778              45150                44850                  300             13455300        89102          
300                  17695                1122778              45150                44850                  300             13455300        89102          
300                  17749                1122778              45150                44850                  300             13455300        89102          
300                  17826                1122778              45150                44850                  300             13455300        89102          
300                  18147                1122778              45150                44850                  300             13455300        89102          
310                  20392                1198953              48205                47895                  310             14847760        95172          
310                  19849                1198953              48205                47895                  310             14847760        95172          
310                  19710                1198953              48205                47895                  310             14847760        95172          
310                  19859                1198953              48205                47895                  310             14847760        95172          
310                  19730                1198953              48205                47895                  310             14847760        95172          
310                  19873                1198953              48205                47895                  310             14847760        95172          
310                  19670                1198953              48205                47895                  310             14847760        95172          
310                  19619                1198953              48205                47895                  310             14847760        95172          
310                  19749                1198953              48205                47895                  310             14847760        95172          
310                  19667                1198953              48205                47895                  310             14847760        95172          
320                  21805                1277628              51360                51040                  320             16333120        101442         
320                  21812                1277628              51360                51040                  320             16333120        101442         
320                  21882                1277628              51360                51040                  320             16333120        101442         
320                  21745                1277628              51360                51040                  320             16333120        101442         
320                  21687                1277628              51360                51040                  320             16333120        101442         
320                  22024                1277628              51360                51040                  320             16333120        101442         
320                  21724                1277628              51360                51040                  320             16333120        101442         
320                  21779                1277628              51360                51040                  320             16333120        101442         
320                  21760                1277628              51360                51040                  320             16333120        101442         
320                  21727                1277628              51360                51040                  320             16333120        101442         
330                  24007                1358803              54615                54285                  330             17914380        107912         
330                  24064                1358803              54615                54285                  330             17914380        107912         
330                  24182                1358803              54615                54285                  330             17914380        107912         
330                  24054                1358803              54615                54285                  330             17914380        107912         
330                  23983                1358803              54615                54285                  330             17914380        107912         
330                  24114                1358803              54615                54285                  330             17914380        107912         
330                  24088                1358803              54615                54285                  330             17914380        107912         
330                  23952                1358803              54615                54285                  330             17914380        107912         
330                  24115                1358803              54615                54285                  330             17914380        107912         
330                  24018                1358803              54615                54285                  330             17914380        107912         
340                  26367                1442478              57970                57630                  340             19594540        114582         
340                  26433                1442478              57970                57630                  340             19594540        114582         
340                  26487                1442478              57970                57630                  340             19594540        114582         
340                  26321                1442478              57970                57630                  340             19594540        114582         
340                  26261                1442478              57970                57630                  340             19594540        114582         
340                  26414                1442478              57970                57630                  340             19594540        114582         
340                  26524                1442478              57970                57630                  340             19594540        114582         
340                  26334                1442478              57970                57630                  340             19594540        114582         
340                  26453                1442478              57970                57630                  340             19594540        114582         
340                  26432                1442478              57970                57630                  340             19594540        114582         
350                  28839                1528653              61425                61075                  350             21376600        121452         
350                  28892                1528653              61425                61075                  350             21376600        121452         
350                  28927                1528653              61425                61075                  350             21376600        121452         
350                  28953                1528653              61425                61075                  350             21376600        121452         
350                  29046                1528653              61425                61075                  350             21376600        121452         
350                  28903                1528653              61425                61075                  350             21376600        121452         
350                  29153                1528653              61425                61075                  350             21376600        121452         
350                  28897                1528653              61425                61075                  350             21376600        121452         
350                  28755                1528653              61425                61075                  350             21376600        121452         
350                  28956                1528653              61425                61075                  350             21376600        121452         
360                  31434                1617328              64980                64620                  360             23263560        128522         
360                  31751                1617328              64980                64620                  360             23263560        128522         
360                  31604                1617328              64980                64620                  360             23263560        128522         
360                  31707                1617328              64980                64620                  360             23263560        128522         
360                  31557                1617328              64980                64620                  360             23263560        128522         
360                  31475                1617328              64980                64620                  360             23263560        128522         
360                  31647                1617328              64980                64620                  360             23263560        128522         
360                  31864                1617328              64980                64620                  360             23263560        128522         
360                  31575                1617328              64980                64620                  360             23263560        128522         
360                  31667                1617328              64980                64620                  360             23263560        128522         
